month,sentiment_index
2018-01-01,0.1127269842006542
2018-02-01,0.4540290117263794
2018-03-01,-0.20869972348213195
2018-04-01,-0.25123991072177887
2018-05-01,0.11534526238315984
2018-06-01,-0.058008953021920245
2018-08-01,-0.2012593944867452
2018-09-01,0.029720664024353027
2018-10-01,-0.4582894708750383
2018-11-01,-0.15358577519655228
2018-12-01,-0.0684982309950159
2019-01-01,-0.30154868599140283
2019-02-01,0.002161461923081996
2019-03-01,-0.19568871334195137
2019-05-01,-0.08215430414820292
2019-06-01,-0.2023568737386453
2019-07-01,-0.21725898224209983
2019-08-01,-0.10747201815247535
2019-09-01,-0.20813235839207966
2019-10-01,0.013819828890917594
2019-11-01,-0.021107727705046188
2019-12-01,-0.0244909794363257
2020-01-01,0.09123342007887168
2020-03-01,-0.3347917268442553
2020-04-01,-0.17556654841735445
2020-05-01,-0.4952566971381505
2020-06-01,-0.1472640570620416
2020-07-01,-0.35061019891873
2020-08-01,-0.15984146584544265
2020-09-01,0.036851384947376865
2020-10-01,-0.06214394909994943
2020-11-01,0.18433939608243796
2020-12-01,0.1146084528702956
2021-01-01,-0.09987091166632515
2021-02-01,-0.07847817135708672
2021-03-01,-0.04146405762317134
2021-04-01,0.030021341408000272
2021-05-01,0.04113210572136773
2021-06-01,0.2565910586943993
2021-07-01,0.19126377978186676
2021-08-01,0.01983867121524498
2021-09-01,0.2041677301749587
2021-11-01,-0.0052740268218211634
2021-12-01,0.1015844890823612
2022-01-01,0.07786853389537081
2022-03-01,0.04160657546816081
2022-05-01,-0.07579841253198223
2022-06-01,0.07941139894619323
2022-07-01,-0.15845325485218403
2022-08-01,-0.1396735990047455
2022-09-01,-0.15073124856888492
2022-11-01,-0.15219868545730908
2022-12-01,-0.19752808053826176
2023-01-01,0.6188234984874725
2023-02-01,-0.20880415901709137
2023-03-01,-0.24591254349797964
2023-05-01,-0.20422092477480572
2023-06-01,-0.10397195962608838
2023-07-01,-0.03724903206235355
2023-08-01,-0.3828344464302063
2023-09-01,0.02060181237757206
2023-10-01,-0.16661231279373168
2023-11-01,-0.04545535606758617
2023-12-01,0.048785398403803505
2024-01-01,0.09815842556018456
2024-03-01,0.09133761672563451
2024-04-01,0.022877236730174014
2024-05-01,0.07187972845656149
2024-06-01,0.13938999941220154
2024-07-01,0.007154273334890604
2024-08-01,-0.0600539892911911
2024-09-01,0.0020939409732818604
2024-11-01,0.2112016823402671
2024-12-01,-0.12251900668655123
